id;cursusnaam;tekst;datum
968;Oracle Spatial Basis;Oracle Spatial Basis: 8, 9, 10 en 15 oktober 2019 in Eindhoven;8-10-2019
969;Oracle Spatial Basis;Oracle Spatial Basis: 4, 5, 6 en 11 november 2019 in Apeldoorn;4-11-2019
970;Oracle Spatial Basis;Oracle Spatial Basis: 5, 6, 7 en 12 november 2019 in Amsterdam;5-11-2019
971;Oracle Spatial Basis;Oracle Spatial Basis: 2, 3, 4 en 9 december 2019 in Rotterdam;2-12-2019
972;PL-SQL Programmeren;PL-SQL Programmeren: op 29, 30 april en 1 mei 2019 in Rotterdam;29-4-2019
973;PostgreSQL en Python;PostgreSQL en Python: dinsdag 7 mei 2019 in Apeldoorn;7-5-2019
974;PostgreSQL en Python;PostgreSQL en Python: maandag 6 mei 2019 in Amsterdam;6-5-2019
975;PostgreSQL en Python;PostgreSQL en Python: dinsdag 4 juni 2019 in Rotterdam;4-6-2019
976;PostgreSQL en Python;PostgreSQL en Python: maandag 3 juni 2019 in Eindhoven;3-6-2019
977;PostgreSQL en Python;PostgreSQL en Python: dinsdag 2 juli 2019 in Apeldoorn;2-7-2019
978;PostgreSQL en Python;PostgreSQL en Python: dinsdag 6 augustus 2019 in Rotterdam;6-8-2019
979;PostgreSQL en Python;PostgreSQL en Python: dinsdag 3 september 2019 in Apeldoorn;3-9-2019
980;PostgreSQL en Python;PostgreSQL en Python: maandag 2 september 2019 in Amsterdam;2-9-2019
981;PostgreSQL en Python;PostgreSQL en Python: dinsdag 1 oktober 2019  in Rotterdam;1-10-2019
982;PostgreSQL en Python;PostgreSQL en Python: maandag 30 september 2019 in Eindhoven;30-9-2019
983;PostgreSQL en Python;PostgreSQL en Python: dinsdag 5 november 2019  in Apeldoorn;5-11-2019
984;PostgreSQL en Python;PostgreSQL en Python: maandag 4 november 2019 in Amsterdam;4-11-2019
985;PostgreSQL en Python;PostgreSQL en Python: dinsdag 10 december 2019 in Rotterdam;10-12-2019
986;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 14 en 15 mei 2019 in Apeldoorn;14-5-2019
987;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 13 en 14 mei 2019 in Amsterdam;13-5-2019
988;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 11 en 12 juni 2019 in Rotterdam;11-6-2019
989;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 10 en 11 juni 2019 in Eindhoven;10-6-2019
990;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 9 en 10 juli 2019 in Apeldoorn;9-7-2019
991;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 13 en 14 augustus 2019 in Rotterdam;13-8-2019
992;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 10 en 11 september 2019 in Apeldoorn;10-9-2019
993;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 9 en 10 september 2019 in Amsterdam;9-9-2019
994;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 8 en 9 oktober 2019 in Rotterdam;8-10-2019
995;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 7 en 8 oktober 2019 in Eindhoven;7-10-2019
996;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 12 en 13 november 2019 in Apeldoorn;12-11-2019
997;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 11 en 12 november 2019 in Amsterdam;11-11-2019
998;ArcGIS Desktop Gevorderd;ArcGIS Desktop Gevorderd: 10 en 11 december 2019 in Rotterdam;10-12-2019
999;Matlab;Matlab: dinsdag  7, 14, en 21 mei 2019  in Amsterdam;7-5-2019
1000;Matlab;Matlab: woensdag 8, 15 en 24 mei 2019 in Apeldoorn;8-5-2019
1001;Matlab;Matlab: dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
1002;Matlab;Matlab: woensdag 5, 12 en 19 juni 2019 in Rotterdam;5-6-2019
1003;Matlab;Matlab: woensdag 3, 10 en 17 juli 2019 in Apeldoorn;3-7-2019
1004;Matlab;Matlab: woensdag 7, 14 en 21 augustus 2019 in Rotterdam;7-8-2019
1005;Matlab;Matlab: dinsdag 3, 10 en 17 september 2019 in Amsterdam;3-9-2019
1006;Matlab;Matlab: woensdag 4, 11 en 18 september 2019 in Apeldoorn;4-9-2019
1007;Matlab;Matlab: dinsdag 8, 15 en 22 oktober 2019 in Eindhoven;8-10-2019
1008;Matlab;Matlab: woensdag 9, 16 en 23 oktober 2019 in Rotterdam;9-10-2019
1009;Matlab;Matlab: dinsdag 5, 12 en 19 november 2019 in Amsterdam;5-11-2019
1010;Matlab;Matlab: woensdag 6, 13 en 20 november 2019 in Apeldoorn;6-11-2019
1011;Matlab;Matlab: woensdag 4, 11 en 18 december 2019 in Rotterdam;4-12-2019
1012;R Programmeren;R Programmeren: vrijdag 10, 17 en 24 mei 2019 in Apeldoorn;10-5-2019
1013;R Programmeren;R Programmeren: donderdag 9, 16 en 23 mei 2019 in Amsterdam;9-5-2019
1014;R Programmeren;R Programmeren: vrijdag 7, 14 en 21 juni 2019 in Rotterdam;7-6-2019
1015;R Programmeren;R Programmeren: donderdag 6, 13 en 20 juni 2019 in Eindhoven;6-6-2019
1016;R Programmeren;R Programmeren: vrijdag 5, 12 en 19  juli 2019 in Apeldoorn;5-7-2019
1017;R Programmeren;R Programmeren: vrijdag 9, 16 en 23 augustus 2019 in Rotterdam;9-8-2019
1018;R Programmeren;R Programmeren: vrijdag 6, 13 en 20 september 2019 in Apeldoorn;6-9-2019
1019;R Programmeren;R Programmeren: donderdag 5, 12 en 19 september 2019 in Amsterdam;5-9-2019
1020;R Programmeren;R Programmeren: vrijdag 11, 18 en 25 oktober 2019 in Rotterdam;11-10-2019
1021;R Programmeren;R Programmeren: donderdag 10, 17 en 24 oktober 2019 in Eindhoven;10-10-2019
1022;R Programmeren;R Programmeren: vrijdag 8, 15 en 22 november 2019 in Apeldoorn;8-11-2019
1023;R Programmeren;R Programmeren: donderdag 7, 14 en 21 november 2019 in Amsterdam;7-11-2019
1024;R Programmeren;R Programmeren: vrijdag 6, 13 en 20 december 2019 in Rotterdam;6-12-2019
1025;R Spatial;R Spatial: vrijdag 17 en 24 mei 2019 in Apeldoorn;17-5-2019
1026;R Spatial;R Spatial: vrijdag 16 en 23 mei 2019 in Amsterdam;16-5-2019
1027;R Spatial;R Spatial: vrijdag 14 en 21 juni 2019 in Rotterdam;14-6-2019
1028;R Spatial;R Spatial: vrijdag 13 en 20  juni 2019 in Einhoven;13-6-2019
1029;R Spatial;R Spatial: vrijdag 12 en 19 juli 2019 in Apeldoorn;12-7-2019
1030;R Spatial;R Spatial: vrijdag 16 en 23 augustus 2019 in Rotterdam;16-8-2019
1031;R Spatial;R Spatial: vrijdag 13 en 20 september 2019 in Apeldoorn;13-9-2019
1032;R Spatial;R Spatial: vrijdag 12 en 19 september 2019 in Amsterdam;12-9-2019
1033;R Spatial;R Spatial: vrijdag 18 en 25 oktober 2019 in Rotterdam;18-10-2019
1034;R Spatial;R Spatial: vrijdag 17 en 24 oktober 2019 in Eindhoven;17-10-2019
1035;R Spatial;R Spatial: vrijdag 15 en 22 november 2019 in Apeldoorn;15-11-2019
1036;R Spatial;R Spatial: vrijdag14 en 21 november 2019 in Amsterdam;14-11-2019
1037;R Spatial;R Spatial: vrijdag 13 en 20 december 2019 in Rotterdam;13-12-2019
1038;MicroStation NLCS;MicroStation NLCS: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1039;Bentley MAP Basis;Bentley MAP Basis: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1040;Bentley MAP Beheer;Bentley MAP Beheer: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1041;SPSS;SPSS: dinsdag  7, 14, en 21 mei 2019  in Amsterdam;7-5-2019
1042;SPSS;SPSS: woensdag 8, 15 en 24 mei 2019 in Apeldoorn;8-5-2019
1043;SPSS;SPSS: dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
1044;SPSS;SPSS: woensdag 5, 12 en 19 juni 2019 in Rotterdam;5-6-2019
1045;SPSS;SPSS: woensdag 3, 10 en 17 juli 2019 in Apeldoorn;3-7-2019
1046;SPSS;SPSS: woensdag 7, 14 en 21 augustus 2019 in Rotterdam;7-8-2019
1047;SPSS;SPSS: dinsdag 3, 10 en 17 september 2019 in Amsterdam;3-9-2019
1048;SPSS;SPSS: woensdag 4, 11 en 18 september 2019 in Apeldoorn;4-9-2019
1049;SPSS;SPSS: dinsdag 8, 15 en 22 oktober 2019 in Eindhoven;8-10-2019
1050;SPSS;SPSS: woensdag 9, 16 en 23 oktober 2019 in Rotterdam;9-10-2019
1051;SPSS;SPSS: dinsdag 5, 12 en 19 november 2019 in Amsterdam;5-11-2019
1052;SPSS;SPSS: woensdag 6, 13 en 20 november 2019 in Apeldoorn;6-11-2019
1053;SPSS;SPSS: woensdag 4, 11 en 18 december 2019 in Rotterdam;4-12-2019
1054;SPSS;SPSS:  woensdag 5, 12 en 19 december 2019 in Rotterdam;5-12-2019
1056;Workshop BIM;Workshop BIM: op afroep i.o. bij u of op een van onze locaties;31-12-2019
1057;TatukGIS en Delphi;TatukGIS en Delphi: Op afroep i.o. bij u of  een van onze locaties;31-12-2019
1058;STATA Spatial;Stata Spatial: dinsdag 8 januari 2019  in Apeldoorn;8-1-2019
1059;STATA Spatial;Stata Spatial: dinsdag 5 februari 2019 in Rotterdam;5-2-2019
1060;STATA Spatial;Stata Spatial: dinsdag 5 maart 2019 in Apeldoorn;5-3-2019
1061;STATA Spatial;Stata Spatial: maandag 4 maart 2019 in Amsterdam;4-3-2019
1062;STATA Spatial;Stata Spatial: dinsdag 2 april 2019 in Rotterdam;2-4-2019
1063;STATA Spatial;Stata Spatial: maandag 1 april 2019 in Eindhoven;1-4-2019
1064;STATA Spatial;Stata Spatial: dinsdag 7 mei 2019 in Apeldoorn;7-5-2019
1065;STATA Spatial;Stata Spatial: maandag 6 mei 2019 in Amsterdam;6-5-2019
1066;STATA Spatial;Stata Spatial: dinsdag 4 juni 2019 in Rotterdam;4-6-2019
1067;STATA Spatial;Stata Spatial: maandag 3 juni 2019 in Eindhoven;3-6-2019
1068;STATA Spatial;Stata Spatial: dinsdag 2 juli 2019 in Apeldoorn;2-7-2019
1069;STATA Spatial;Stata Spatial: dinsdag 6 augustus 2019 in Rotterdam;6-8-2019
1070;STATA Spatial;Stata Spatial: dinsdag 3 september 2019 in Apeldoorn;3-9-2019
1071;STATA Spatial;Stata Spatial: maandag 2 september 2019 in Amsterdam;2-9-2019
1072;STATA Spatial;Stata Spatial: dinsdag 1 oktober 2019  in Rotterdam;1-10-2019
1073;STATA Spatial;Stata Spatial: maandag 30 september 2019 in Eindhoven;30-9-2019
1074;STATA Spatial;Stata Spatial: dinsdag 5 november 2019  in Apeldoorn;5-11-2019
1075;STATA Spatial;Stata Spatial: maandag 4 november 2019 in Amsterdam;4-11-2019
1076;STATA Spatial;Stata Spatial: dinsdag 10 december 2019 in Rotterdam;10-12-2019
1077;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 8 en 9 januari 2019 in Apeldoorn;8-1-2019
1078;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 5 en 6 februari 2019 in Rotterdam;5-2-2019
1079;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 5 en 6 maart 2019 in Apeldoorn;5-3-2019
1080;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 4 en 5 maart 2019 in Amsterdam;4-3-2019
1081;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 9 en 10 april 2019 in Rotterdam;9-4-2019
1082;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 8 en 9 april 2019 in Eindhoven;8-4-2019
1083;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 14 en 15 mei 2019 in Apeldoorn;14-5-2019
1084;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 13 en 14 mei 2019 in Amsterdam;13-5-2019
1085;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 11 en 12 juni 2019 in Rotterdam;11-6-2019
1086;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 10 en 11 juni 2019 in Eindhoven;10-6-2019
1087;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 9 en 10 juli 2019 in Apeldoorn;9-7-2019
1088;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 13 en 14 augustus 2019 in Rotterdam;13-8-2019
1089;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 10 en 11 september 2019 in Apeldoorn;10-9-2019
1090;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 9 en 10 september 2019 in Amsterdam;9-9-2019
1091;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 8 en 9 oktober 2019 in Rotterdam;8-10-2019
1092;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 7 en 8 oktober 2019 in Eindhoven;7-10-2019
1093;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 12 en 13 november 2019 in Apeldoorn;12-11-2019
1094;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 11 en 12 november 2019 in Amsterdam;11-11-2019
1095;MicroStation 2D Snel aan de slag;Snel aan de slag met MicroStation: 10 en 11 december 2019 in Rotterdam;10-12-2019
1096;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 8 en 9 januari 2019 in Apeldoorn;8-1-2019
1097;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 5 en 6 februari 2019 in Rotterdam;5-2-2019
1098;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 5 en 6 maart 2019 in Apeldoorn;5-3-2019
1099;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 4 en 5 maart 2019 in Amsterdam;4-3-2019
1100;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 9 en 10 april 2019 in Rotterdam;9-4-2019
1101;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 8 en 9 april 2019 in Eindhoven;8-4-2019
1102;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 14 en 15 mei 2019 in Apeldoorn;14-5-2019
1103;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 13 en 14 mei 2019 in Amsterdam;13-5-2019
1104;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 11 en 12 juni 2019 in Rotterdam;11-6-2019
1105;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 10 en 11 juni 2019 in Eindhoven;10-6-2019
1106;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 9 en 10 juli 2019 in Apeldoorn;9-7-2019
1107;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 13 en 14 augustus 2019 in Rotterdam;13-8-2019
1108;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 10 en 11 september 2019 in Apeldoorn;10-9-2019
1109;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 9 en 10 september 2019 in Amsterdam;9-9-2019
1110;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 8 en 9 oktober 2019 in Rotterdam;8-10-2019
1111;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 7 en 8 oktober 2019 in Eindhoven;7-10-2019
1112;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 12 en 13 november 2019 in Apeldoorn;12-11-2019
1113;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 11 en 12 november 2019 in Amsterdam;11-11-2019
1114;BricsCAD Snel aan de slag;Snel aan de slag met BricsCAD: 10 en 11 december 2019 in Rotterdam;10-12-2019
1134;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 8 en 9 januari 2019 in Apeldoorn;8-1-2019
1135;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 5 en 6 februari 2019 in Rotterdam;5-2-2019
1136;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 5 en 6 maart 2019 in Apeldoorn;5-3-2019
1137;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 4 en 5 maart 2019 in Amsterdam;4-3-2019
1138;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 9 en 10 april 2019 in Rotterdam;9-4-2019
1139;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 8 en 9 april 2019 in Eindhoven;8-4-2019
1140;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 14 en 15 mei 2019 in Apeldoorn;14-5-2019
1141;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 13 en 14 mei 2019 in Amsterdam;13-5-2019
1142;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 11 en 12 juni 2019 in Rotterdam;11-6-2019
1143;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 10 en 11 juni 2019 in Eindhoven;10-6-2019
1144;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 9 en 10 juli 2019 in Apeldoorn;9-7-2019
1145;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 13 en 14 augustus 2019 in Rotterdam;13-8-2019
1146;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 10 en 11 september 2019 in Apeldoorn;10-9-2019
1147;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 9 en 10 september 2019 in Amsterdam;9-9-2019
1148;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 8 en 9 oktober 2019 in Rotterdam;8-10-2019
1149;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 7 en 8 oktober 2019 in Eindhoven;7-10-2019
1150;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 12 en 13 november 2019 in Apeldoorn;12-11-2019
1151;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 11 en 12 november 2019 in Amsterdam;11-11-2019
1152;ArcGIS Pro Snel aan de slag;Snel aan de slag met ArcGIS Pro: 10 en 11 december 2019 in Rotterdam;10-12-2019
1153;SmallWorld en Magik;SmallWorld en Magik: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1154;Revit Architecture Vervolg;Revit Architecture Vervolg: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1155;Revit Architecture Tools;Revit Architecture Tools: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1156;Revit Architecture Basis;Revit Architecture Basis: 7, 8, 9 en 14 januari 2019 in Apeldoorn;7-1-2019
1157;Revit Architecture Basis;Revit Architecture Basis: 3, 4, 5 en 10 februari 2019 in Rotterdam;3-2-2019
1158;Revit Architecture Basis;Revit Architecture Basis: 3, 4, 5 en 10 maart 2019 in Apeldoorn;3-3-2019
1159;Revit Architecture Basis;Revit Architecture Basis: 4, 5, 6 en 11 maart 2019 in Amsterdam;4-3-2019
1160;Revit Architecture Basis;Revit Architecture Basis: 7, 8, 9 en 14 april 2019 in Rotterdam;7-4-2019
1161;Revit Architecture Basis;Revit Architecture Basis: 8, 9, 10 en 15 april 2019 in Eindhoven;8-4-2019
1162;Revit Architecture Basis;Revit Architecture Basis: 5, 6, 7 en 12 mei 2019 in Apeldoorn;5-5-2019
1163;Revit Architecture Basis;Revit Architecture Basis: 6, 7, 8 en 13 mei 2019 in Amsterdam;6-5-2019
1164;Revit Architecture Basis;Revit Architecture Basis: 2, 3, 4 en 9 juni 2019 in Rotterdam;2-6-2019
1165;Revit Architecture Basis;Revit Architecture Basis: 3, 4, 5 en 10 juni 2019 in Eindhoven;3-6-2019
1166;Revit Architecture Basis;Revit Architecture Basis: 1,2 3 en 8 juli 2019 in Rotterdam;1-7-2019
1168;Revit Architecture Basis;Revit Architecture Basis: 3, 4, 11 en 18 september 2019 in Amsterdam;3-9-2019
1170;Revit Architecture Basis;Revit Architecture Basis: 7, 8, 9 en 14 oktober 2019 in Rotterdam;7-10-2019
1171;Revit Architecture Basis;Revit Architecture Basis: 8, 9, 10 en 15 oktober 2019 in Eindhoven;8-10-2019
1172;Revit Architecture Basis;Revit Architecture Basis: 4, 5, 6 en 11 november 2019 in Apeldoorn;4-11-2019
1173;Revit Architecture Basis;Revit Architecture Basis: 5, 6, 7 en 12 november 2019 in Amsterdam;5-11-2019
1174;Revit Architecture Basis;Revit Architecture Basis: 2, 3, 4 en 9 december 2019 in Rotterdam;2-12-2019
1175;QGIS Models;QGIS Models: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1176;QGIS Intro;QGIS Intro: dinsdag 8 januari 2019  in Apeldoorn;8-1-2019
1177;QGIS Intro;QGIS Intro: dinsdag 5 februari 2019 in Rotterdam;5-2-2019
1178;QGIS Intro;QGIS Intro: dinsdag 5 maart 2019 in Apeldoorn;5-3-2019
1179;QGIS Intro;QGIS Intro: maandag 4 maart 2019 in Amsterdam;4-3-2019
1180;QGIS Intro;QGIS Intro: dinsdag 2 april 2019 in Rotterdam;2-4-2019
1181;QGIS Intro;QGIS Intro: maandag 1 april 2019 in Eindhoven;1-4-2019
1182;QGIS Intro;QGIS Intro: dinsdag 7 mei 2019 in Apeldoorn;7-5-2019
1183;QGIS Intro;QGIS Intro: maandag 6 mei 2019 in Amsterdam;6-5-2019
1184;QGIS Intro;QGIS Intro: dinsdag 4 juni 2019 in Rotterdam;4-6-2019
1185;QGIS Intro;QGIS Intro: maandag 3 juni 2019 in Eindhoven;3-6-2019
1186;QGIS Intro;QGIS Intro: dinsdag 2 juli 2019 in Apeldoorn;2-7-2019
1187;QGIS Intro;QGIS Intro: dinsdag 6 augustus 2019 in Rotterdam;6-8-2019
1188;QGIS Intro;QGIS Intro: dinsdag 3 september 2019 in Apeldoorn;3-9-2019
1189;QGIS Intro;QGIS Intro: maandag 2 september 2019 in Amsterdam;2-9-2019
1190;QGIS Intro;QGIS Intro: dinsdag 1 oktober 2019  in Rotterdam;1-10-2019
1191;QGIS Intro;QGIS Intro: maandag 30 september 2019 in Eindhoven;30-9-2019
1192;QGIS Intro;QGIS Intro: dinsdag 5 november 2019  in Apeldoorn;5-11-2019
1193;QGIS Intro;QGIS Intro: maandag 4 november 2019 in Amsterdam;4-11-2019
1194;QGIS Intro;QGIS Intro: dinsdag 10 december 2019 in Rotterdam;10-12-2019
1207;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 8 januari 2019  in Apeldoorn;8-1-2019
1208;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 5 februari 2019 in Rotterdam;5-2-2019
1209;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 5 maart 2019 in Apeldoorn;5-3-2019
1210;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 4 maart 2019 in Amsterdam;4-3-2019
1211;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 2 april 2019 in Rotterdam;2-4-2019
1212;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 1 april 2019 in Eindhoven;1-4-2019
1213;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 7 mei 2019 in Apeldoorn;7-5-2019
1214;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 6 mei 2019 in Amsterdam;6-5-2019
1215;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 4 juni 2019 in Rotterdam;4-6-2019
1216;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 3 juni 2019 in Eindhoven;3-6-2019
1217;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 2 juli 2019 in Apeldoorn;2-7-2019
1218;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 6 augustus 2019 in Rotterdam;6-8-2019
1219;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 3 september 2019 in Apeldoorn;3-9-2019
1220;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 2 september 2019 in Amsterdam;2-9-2019
1221;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 1 oktober 2019  in Rotterdam;1-10-2019
1222;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 30 september 2019 in Eindhoven;30-9-2019
1223;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 5 november 2019  in Apeldoorn;5-11-2019
1224;QGIS 3D Visualisatie;QGIS 3D Visualisatie: maandag 4 november 2019 in Amsterdam;4-11-2019
1225;QGIS 3D Visualisatie;QGIS 3D Visualisatie: dinsdag 10 december 2019 in Rotterdam;10-12-2019
1226;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 7, 8, 9 en 14 januari 2019 in Apeldoorn;7-1-2019
1227;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 3, 4, 5 en 10 februari 2019 in Rotterdam;3-2-2019
1228;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 3, 4, 5 en 10 maart 2019 in Apeldoorn;3-3-2019
1229;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 4, 5, 6 en 11 maart 2019 in Amsterdam;4-3-2019
1230;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 7, 8, 9 en 14 april 2019 in Rotterdam;7-4-2019
1231;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 8, 9, 10 en 15 april 2019 in Eindhoven;8-4-2019
1232;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 5, 7, 12 en 13 Juni 2019 in Apeldoorn;5-6-2019
1233;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 6, 7, 8 en 13 mei 2019 in Amsterdam;6-5-2019
1236;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 1,2 3 en 8 juli 2019 in Rotterdam;1-7-2019
1237;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 4, 5, 6 en 11 augustus 2019 in Eindhoven;4-8-2019
1238;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 2, 3, 4 en 9 september 2019 in Apeldoorn;2-9-2019
1239;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 3, 4, 5 en 10 september 2019 in Amsterdam;3-9-2019
1240;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 7, 8, 9 en 14 oktober 2019 in Rotterdam;7-10-2019
1241;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 8, 9, 10 en 15 oktober 2019 in Eindhoven;8-10-2019
1242;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 4, 5, 6 en 11 november 2019 in Apeldoorn;4-11-2019
1243;Python voor beginnende programmeurs;Python voor beginnende programmeurs: 5, 6, 7 en 12 november 2019 in Amsterdam;5-11-2019
1244;Python voor beginnende programmeurs;Python voor beginnende programmeurs 2, 3, 4 en 9 december 2019 in Rotterdam;2-12-2019
1245;Python TKinter GUI programming;Python Tkinter: maandag 7 en 14 januari 2019 in Apeldoorn;7-1-2019
1246;Python TKinter GUI programming;Python Tkinter: maandag 4 en 11 februari 2019 in Rotterdam;4-2-2019
1247;Python TKinter GUI programming;Python Tkinter: maandag 4 en 11maart 2019 in Apeldoorn;4-3-2019
1248;Python TKinter GUI programming;Python Tkinter: dinsdag 5 en 12 maart 2019 in Amsterdam;5-3-2019
1249;Python TKinter GUI programming;Python Tkinter: maandag 8 en 15 april 2019 in Rotterdam;8-4-2019
1250;Python TKinter GUI programming;Python Tkinter: dinsdag 9 en 16 april 2019 in Eindhoven;9-4-2019
